day,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,subscribersGained,subscribersLost,likes,dislikes,comments,shares,refresh_datetime
2025-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-08-28,9.0,11.0,78.0,44.2,1.0,0.0,1.0,0.0,0.0,3.0,2025-09-15
2025-08-29,30.0,37.0,75.0,52.21,2.0,0.0,3.0,0.0,0.0,2.0,2025-09-15
2025-08-30,5.0,3.0,45.0,31.670000000000005,1.0,0.0,1.0,0.0,2.0,0.0,2025-09-15
2025-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-09-01,1.0,0.0,22.0,15.58,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-09-02,3.0,0.0,4.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-09-03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-09-04,1.0,0.0,28.0,19.97,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-09-05,1.0,2.0,132.0,91.85,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-09-06,1.0,0.0,4.0,3.26,0.0,0.0,-1.0,0.0,0.0,0.0,2025-09-15
2025-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-09-09,2.0,1.0,43.0,29.87,0.0,0.0,2.0,0.0,0.0,1.0,2025-09-15
2025-09-10,965.0,1174.0,73.0,50.519999999999996,2.0,0.0,2.0,0.0,0.0,2.0,2025-09-15
2025-09-11,2645.0,2641.0,59.0,40.84,0.0,0.0,0.0,0.0,0.0,4.0,2025-09-15
2025-09-12,3599.0,2768.0,46.0,31.55,0.0,0.0,1.0,0.0,0.0,5.0,2025-09-15
2025-09-13,199.0,266.0,80.0,42.59,1.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
2025-09-14,2.0,2.0,83.0,44.13,0.0,0.0,0.0,0.0,0.0,1.0,2025-09-15
2025-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-09-15
